date,month,artist_id,artist_name,song_name,radio_station,region
2024-08-08,August,17.0,Lorde,Royals,Smooth,UK
2024-08-22,August,17.0,Lorde,Solar Power,Heart,UK
2024-08-30,August,17.0,Lorde,Solar Power,Gold,UK
2024-08-10,August,17.0,Lorde,Green Light,Capital,UK
2024-08-14,August,17.0,Lorde,Green Light,Heart,UK
2024-08-14,August,17.0,Lorde,Green Light,Heart,UK
2024-08-31,August,17.0,Lorde,Green Light,Classic_FM,UK
2024-08-31,August,17.0,Lorde,Green Light,Classic_FM,UK
2024-08-28,August,17.0,Lorde,Green Light,Smooth,UK
2024-08-04,August,17.0,Lorde,Solar Power,Gold,US
2024-08-10,August,17.0,Lorde,Solar Power,Gold,US
2024-08-03,August,17.0,Lorde,Solar Power,Capital,UK
2024-08-06,August,17.0,Lorde,Solar Power,Gold,UK
2024-08-11,August,17.0,Lorde,Royals,Smooth,UK
2024-08-06,August,17.0,Lorde,Royals,Classic_FM,US
2024-08-16,August,17.0,Lorde,Green Light,Heart,US
2024-08-25,August,17.0,Lorde,Royals,Gold,UK
2024-08-07,August,17.0,Lorde,Green Light,Smooth,UK
2024-08-27,August,17.0,Lorde,Green Light,Smooth,UK
2024-08-01,August,17.0,Lorde,Green Light,Smooth,US
2024-08-19,August,17.0,Lorde,Green Light,Gold,UK
2024-08-28,August,17.0,Lorde,Green Light,Classic_FM,UK
2024-08-18,August,17.0,Lorde,Solar Power,Gold,UK
2024-08-14,August,17.0,Lorde,Solar Power,Gold,UK
2024-08-29,August,17.0,Lorde,Solar Power,Gold,UK
2024-08-29,August,17.0,Lorde,Solar Power,Gold,UK
2024-08-25,August,17.0,Lorde,Royals,Gold,UK
2024-08-26,August,17.0,Lorde,Solar Power,Classic_FM,US
2024-08-02,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-26,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-17,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-24,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-24,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-23,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-23,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-25,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-13,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-07,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-07,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-06,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-06,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-07,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-12,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-14,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-10,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-10,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-17,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-06,August,14.0,Katy Perry,Roar,Capital,UK
2024-08-04,August,20.0,Demi Lovato,Confident,Gold,UK
2024-08-01,August,1.0,Taylor Swift,Love Story,Capital,UK
2024-08-17,August,9.0,Ariana Grande,"Thank U, Next",Smooth,UK
,,,,,,
2024-08-31,August,10.0,Post Malone,Circles,Classic_FM,ROW
